anno;PROVINCIA_CCIAA;COD_PROVINCIA_SEDE_LEGALE;DES_PROVINCIA_SEDE_LEGALE;COD_COMUNE_SEDE_LEGALE;COMUNE;GRUPPO_NATURA_GIURIDICA;ATECO_COD_SEZIONE;ATECO_DES_SEZIONE;NUMERO_IMPRESE;IMPRESE ATTIVE;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;B;ESTRAZIONE DI MINERALI DA CAVE E MINIERE;1;1;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;C;ATTIVITè MANIFATTURIERE;26;24;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;3;2;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;E;"FORNITURA DI ACQUA; RETI FOGNARIE";1;1;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;F;COSTRUZIONI;80;60;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";38;30;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;H;TRASPORTO E MAGAZZINAGGIO;17;11;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;I;ATTIVITè DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;29;25;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;15;14;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;K;ATTIVITè FINANZIARIE E ASSICURATIVE;7;2;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;L;ATTIVITè IMMOBILIARI;16;12;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;M;ATTIVITè PROFESSIONALI, SCIENTIFICHE E TECNICHE;55;43;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;51;43;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;P;ISTRUZIONE;21;18;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;Q;SANITè E ASSISTENZA SOCIALE;25;24;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;R;ATTIVITè ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;32;30;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;S;ALTRE ATTIVITè DI SERVIZI;7;4;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;n;Non indicato;119;3;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;A;AGRICOLTURA, SILVICOLTURA E PESCA;702;702;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;C;ATTIVITè MANIFATTURIERE;634;620;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;6;6;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;E;"FORNITURA DI ACQUA; RETI FOGNARIE";5;5;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;F;COSTRUZIONI;887;858;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";1794;1750;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;H;TRASPORTO E MAGAZZINAGGIO;110;105;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;I;ATTIVITè DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;255;246;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;82;80;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;K;ATTIVITè FINANZIARIE E ASSICURATIVE;203;201;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;L;ATTIVITè IMMOBILIARI;68;67;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;M;ATTIVITè PROFESSIONALI, SCIENTIFICHE E TECNICHE;132;129;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;140;138;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;P;ISTRUZIONE;12;12;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;Q;SANITè E ASSISTENZA SOCIALE;9;9;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;R;ATTIVITè ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;68;67;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;S;ALTRE ATTIVITè DI SERVIZI;316;312;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;U;ORGANIZZAZIONI ED ORGANISMI EXTRATERRITORIALI;1;1;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;n;Non indicato;303;1;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;A;AGRICOLTURA, SILVICOLTURA E PESCA;43;37;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;B;ESTRAZIONE DI MINERALI DA CAVE E MINIERE;5;5;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;C;ATTIVITè MANIFATTURIERE;821;587;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;43;42;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;E;"FORNITURA DI ACQUA; RETI FOGNARIE";10;7;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;F;COSTRUZIONI;408;325;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";1085;804;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;H;TRASPORTO E MAGAZZINAGGIO;58;48;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;I;ATTIVITè DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;296;219;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;188;167;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;K;ATTIVITè FINANZIARIE E ASSICURATIVE;82;70;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;L;ATTIVITè IMMOBILIARI;638;537;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;M;ATTIVITè PROFESSIONALI, SCIENTIFICHE E TECNICHE;247;207;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;130;105;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;P;ISTRUZIONE;25;21;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;Q;SANITè E ASSISTENZA SOCIALE;16;14;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;R;ATTIVITè ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;71;53;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;S;ALTRE ATTIVITè DI SERVIZI;63;52;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;n;Non indicato;37;0;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;A;AGRICOLTURA, SILVICOLTURA E PESCA;57;56;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;C;ATTIVITè MANIFATTURIERE;344;281;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;2;2;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;E;"FORNITURA DI ACQUA; RETI FOGNARIE";5;4;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;F;COSTRUZIONI;159;130;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";368;314;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;H;TRASPORTO E MAGAZZINAGGIO;19;15;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;I;ATTIVITè DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;221;176;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;14;13;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;K;ATTIVITè FINANZIARIE E ASSICURATIVE;20;18;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;L;ATTIVITè IMMOBILIARI;145;134;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;M;ATTIVITè PROFESSIONALI, SCIENTIFICHE E TECNICHE;23;18;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;31;26;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;P;ISTRUZIONE;13;13;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;Q;SANITè E ASSISTENZA SOCIALE;7;5;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;R;ATTIVITè ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;9;7;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI PERSONE;S;ALTRE ATTIVITè DI SERVIZI;109;104;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;ALTRE FORME;A;AGRICOLTURA, SILVICOLTURA E PESCA;2;1;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;ALTRE FORME;C;ATTIVITè MANIFATTURIERE;1;0;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;ALTRE FORME;F;COSTRUZIONI;1;0;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;ALTRE FORME;H;TRASPORTO E MAGAZZINAGGIO;1;1;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;ALTRE FORME;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;2;2;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;ALTRE FORME;Q;SANITè E ASSISTENZA SOCIALE;1;1;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;ALTRE FORME;S;ALTRE ATTIVITè DI SERVIZI;1;1;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;DITTE INDIVIDUALI;n;Non indicato;1;0;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;DITTE INDIVIDUALI;A;AGRICOLTURA, SILVICOLTURA E PESCA;48;47;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;DITTE INDIVIDUALI;C;ATTIVITè MANIFATTURIERE;4;4;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;DITTE INDIVIDUALI;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;2;2;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;DITTE INDIVIDUALI;F;COSTRUZIONI;8;8;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;DITTE INDIVIDUALI;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";18;17;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;DITTE INDIVIDUALI;H;TRASPORTO E MAGAZZINAGGIO;2;2;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;DITTE INDIVIDUALI;I;ATTIVITè DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;7;7;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;DITTE INDIVIDUALI;K;ATTIVITè FINANZIARIE E ASSICURATIVE;1;1;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;DITTE INDIVIDUALI;M;ATTIVITè PROFESSIONALI, SCIENTIFICHE E TECNICHE;3;3;;
