anno;CCIAA;codice_provincia;provincia;codice_comune;comune;natura_giuridica;sezione;settore_attivita;registrate;attive
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;A;AGRICOLTURA, SILVICOLTURA E PESCA;9;8
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;C;ATTIVITÀ MANIFATTURIERE;7;4
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;2;2
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;F;COSTRUZIONI;46;34
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";12;7
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;H;TRASPORTO E MAGAZZINAGGIO;13;10
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;I;ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;3;3
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;11;8
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;K;ATTIVITÀ FINANZIARIE E ASSICURATIVE;4;4
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;L;ATTIVITÀ IMMOBILIARI;8;7
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;M;ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;23;19
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;25;21
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;P;ISTRUZIONE;11;8
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;Q;SANITÀ E ASSISTENZA SOCIALE;17;15
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;R;ATTIVITÀ ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;8;7
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;S;ALTRE ATTIVITÀ DI SERVIZI;4;2
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;n;Non indicato;112;1
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;A;AGRICOLTURA, SILVICOLTURA E PESCA;722;721
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;C;ATTIVITÀ MANIFATTURIERE;624;610
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;6;6
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;E;"FORNITURA DI ACQUA; RETI FOGNARIE";6;6
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;F;COSTRUZIONI;903;880
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";1776;1744
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;H;TRASPORTO E MAGAZZINAGGIO;120;117
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;I;ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;238;232
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;81;79
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;K;ATTIVITÀ FINANZIARIE E ASSICURATIVE;198;197
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;L;ATTIVITÀ IMMOBILIARI;65;64
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;M;ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;129;128
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;133;131
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;P;ISTRUZIONE;11;11
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;Q;SANITÀ E ASSISTENZA SOCIALE;7;7
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;R;ATTIVITÀ ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;65;64
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;S;ALTRE ATTIVITÀ DI SERVIZI;314;310
2014;AR;051;AREZZO;051002;AREZZO;DITTE INDIVIDUALI;U;ORGANIZZAZIONI ED ORGANISMI EXTRATERRITORIALI;1;1
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;n;Non indicato;60;0
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;A;AGRICOLTURA, SILVICOLTURA E PESCA;11;10
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;B;ESTRAZIONE DI MINERALI DA CAVE E MINIERE;1;1
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;C;ATTIVITÀ MANIFATTURIERE;95;79
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;2;1
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;E;"FORNITURA DI ACQUA; RETI FOGNARIE";3;3
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;F;COSTRUZIONI;54;42
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";202;167
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;H;TRASPORTO E MAGAZZINAGGIO;16;14
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;I;ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;124;92
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;31;29
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;K;ATTIVITÀ FINANZIARIE E ASSICURATIVE;23;16
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;L;ATTIVITÀ IMMOBILIARI;126;108
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;M;ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;52;41
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;47;41
